Hours_Studied,Marks
4.76,46.27
3.0,34.3
2.08,33.63
4.04,47.81
9.49,66.26
3.91,38.37
5.67,56.24
7.33,60.47
4.27,39.02
9.75,71.44
9.66,65.99
3.27,34.0
5.48,48.59
3.71,28.97
3.56,29.19
1.33,23.85
6.49,47.37
5.52,49.19
1.46,22.78
3.51,30.48
9.17,73.2
3.16,34.65
2.3,31.86
5.41,39.9
9.87,66.63
3.18,36.45
7.05,49.49
7.85,61.15
3.14,32.69
7.55,56.31
4.31,38.54
6.69,62.72
6.7,53.44
5.82,43.82
1.81,33.18
8.52,56.48
3.89,40.48
2.68,23.59
1.37,20.19
6.32,52.57
7.1,59.18
1.15,26.6
5.61,47.47
3.04,33.69
6.81,46.64
2.57,29.25
7.22,53.79
4.48,47.69
9.43,68.87
2.24,22.37
4.07,41.97
2.02,28.18
9.32,63.23
8.9,67.54
3.32,41.76
6.94,59.36
8.35,57.58
6.0,48.44
5.77,50.49
3.18,40.76
1.84,26.79
9.07,64.45
9.1,59.99
6.7,47.51
4.05,44.32
4.14,47.5
7.53,57.31
9.07,70.39
8.98,66.73
8.02,56.87
6.78,55.7
1.76,36.48
2.45,32.09
9.09,73.26
6.46,39.19
1.08,29.52
1.91,30.0
6.97,53.36
1.05,25.69
2.45,22.3
5.94,48.59
7.23,57.92
6.87,61.73
3.02,32.5
7.41,53.01
3.14,33.17
3.93,44.22
7.72,60.24
6.85,51.58
8.64,65.78
6.92,55.08
6.11,55.42
1.84,25.71
4.31,39.91
3.39,34.97
3.2,28.66
9.76,70.27
4.54,43.99
9.03,65.17
6.68,52.23
